204	hypothetical protein	02a3eb734549ef9b8b8f13e9a97959b7
123	xylosidase or glucosidase	01d1464f96d75e78c122d9594c48d445
86	phosphoglycerate kinase;COG0126: 3-phosphoglycerate kinase;pgk	016b5d232bcfa8e8046b28cfda22a5ec
70	hypothetical protein	023ed93e6f7da59d4bad8d12d699f574
59	N-acylglucosamine 2-epimerase	007b3ba65ed49d223b8a5fd281336092
55	hypothetical protein;hypothetical protein;hypothetical protein;hypothetical protein	0229052bb0e5b38947abb07c6c11fb1b
40	excinuclease ATPase subunit	002bf2139d5d27e332e2b374f11396d8
38	chaperone protein DnaJ;dnaj2;chaperone DnaJ;GrpE	004be14184b0008efbba658627778fcb
37	ketol-acid reductoisomerase	0097e65ff2409cdbabb59ee08ff9640b
29	rpmc;50S ribosomal protein L29;50S ribosomal protein L29;ribosomal protein L29;50S ribosomal protein L29;COG0255: Ribosomal protein L29;ribosomal protein L29;50S ribosomal protein L29;ribosomal protein L29	029082083f4745e17339be7e2d916be3
22	hypothetical protein;hypothetical protein;hypothetical protein;hypothetical protein	0049638c67aec9c860ed0a46839b7bf4
17	protein of unknown function DUF214	01ddcb19a1556c5357963090ee04180a
11	polyphosphate glucokinase	0090fa3c85a945e447c00c15f733db78
10	grol	02325fb0824b9c4ae99a53b401aae3f8
8	membrane protein with acetylase function	012d12ddb539eee485a115c824f061d3
8	hypothetical protein;hypothetical protein	00468cd2d536ab7d62aedb3037068748
8	COG0821: Enzyme involved in the deoxyxylulose pathway of isoprenoid biosynthesis;4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase;4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase	0030ee4facf1862efb0c33d94f851aa9
8	ADP-ribose pyrophosphatase;MutT-like protein;NUDIX hydrolase;NUDIX hydrolase;nudix family phosphohydrolase;ADP-ribose pyrophosphatase	004479020b723e43120c95a7feb80e5f
7	hypothetical protein	00721f2732a3afe3cc8c4e3c6202bae0
6	hypothetical protein	00d5da344e518a1280ed07154179a0ce
6	protein phosphatase 2C domain-containing protein	01cbde71cbb8c0bd7b83704f9805551b
6	COG0463: Glycosyltransferases involved in cell wall biogenesis;cell wall membrane glycosyltransferase	01b3e36417091710950bad3409e42d08
6	GTP-dependent nucleic acid-binding protein EngD	019bc1ca44bb9c042833324b313d7415
5	binding-protein-dependent transporter inner membrane component	00add7616bd6f66257ab2a621bb148bd
5	hypothetical protein;abgb;amino acid aminohydrolase	021e810005c64751d6b9d13339fef47f
5	COG2826: Transposase and inactivated derivative;S30 family;IS30 family transposase	002342809748d10d560a1a69ea38d88e
4	hypothetical protein	0029b311f269522bce42e65542a20ff0
4	cara;carbamoyl-phosphate synthase small chain protein	0005409786f655eca4ac34866ae9aea1
4	hypothetical protein	025ecf05a2458d5b2a362e7c391f21ca
4	possible dGTPase	027b19c3820261cdc2c0499bd81edc99
3	sodium/proton antiporter	012af128125b4d453757711f50878287
3	serine protease;hypothetical protein	0001c2703270cc7aec519107b8215b11
3	conserved hypothetical protein	017ffcd7054164a1e5a7bcfbe5e6f3c6
3	hypothetical protein	01b44a96ef00cf7fe240d1342149a9be
2	pyruvate kinase;Pyruvate kinase;hypothetical protein;pyruvate kinase	01e5a01586b8aed8038282a81c43c56c
2	argininosuccinate synthase	01cb6e807709ec1523412a9d03f48ca5
2	D-xylose isomerase;xyla	0015e975c7e56792522eb916f871b93c
2	lysyl-tRNA synthetase	00d95c9de7f20400f6dc266f1d1c9489
1	oligopeptide/dipeptide ABC transporte;TPase subunit	01999454626fc9ce0c781635c2303205
1	GTP diphosphokinase	004d4b38db02ec34202d2e5e294e3896
1	RmlB dTDP-glucose;-dehydratase	01da5d7c52070ca0f34024e510bf5cff
1	lipopolysaccharide kinase	01657bc93ef18abd6f2e78d470aaff68
1	predicted protein	0018be2dc49c8d2f5292c1532544ba5b
1	COG0118: Glutamine amidotransferase	0214b123361d74ec6cccbdce8528bee4
1	thiamine biosynthesis lipoprotein ApbE	02c3bc5b085129134c09e248cce0283c
1	protein of unknown function DUF245 domain protein	0013fccdfeb77cbb0687dcc913d6a33e
1	hypothetical protein	00c97b3c4090cfb6714786b9a57709ac
1	ATP binding protein of ABC transporter	02c63bc14c84648af298a2f514e7b471
1	hypothetical protein	01c9c52ab0a0548affc65b737af1e72c
1	hypothetical protein;L-asparagineamidohydrolase	01a09462e23898d91c567142ca502aa7
1	undecaprenyldiphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase	011dab50ecc51afa7b8bb6279121908e
1	hypothetical protein	007d93621e4f91d5543acfd3bca27a57
1	ABC transporter	019cdd2be65e10366f64efb211b8560a
